Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
Aldershot,-3,-11,72430,106193,E14000530,E12000008,Hampshire,South East,England,Borough,Leo,Docherty,Male,Con,Lab,72617,47932,251,16698
Aldridge-Brownhills,-3,-1,60215,77532,E14000531,E12000005,West Midlands,West Midlands,England,Borough,Wendy,Morton,Female,Con,Lab,60138,39342,152,19836
Altrincham and Sale West,-7,3,71511,101457,E14000532,E12000002,Greater Manchester,North West,England,Borough,Graham,Brady,Male,Con,Lab,73107,54763,173,6139
Amber Valley,0,2,69510,90132,E14000533,E12000004,Derbyshire,East Midlands,England,County,Nigel,Mills,Male,Con,Lab,69976,45567,151,16886
Arundel and South Downs,0,-15,77242,100501,E14000534,E12000008,West Sussex,South East,England,County,Andrew,Griffith,Male,Con,LD,81726,61408,287,22521
Ashfield,1,2,77091,106495,E14000535,E12000004,Nottinghamshire,East Midlands,England,County,Lee,Anderson,Male,Con,Ashfield Independents,78204,48980,118,5733
Ashford,12,-13,85177,122178,E14000536,E12000008,Kent,South East,England,County,Damian,Green,Male,Con,Lab,89553,60059,279,24029
Aylesbury,2,-6,80315,121812,E14000538,E12000008,Buckinghamshire,South East,England,County,Rob,Butler,Male,Con,Lab,86665,60576,279,17373
Banbury,1,-5,86420,122939,E14000539,E12000008,Oxfordshire,South East,England,County,Victoria,Prentis,Female,Con,Lab,90116,62921,355,16813
Barking,8,-9,73977,139764,E14000540,E12000007,London,London,England,Borough,Margaret,Hodge,Female,Lab,Con,77953,44499,120,15427
Barnsley Central,-2,6,64534,90319,E14000541,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Daniel,Jarvis,Male,Lab,Brexit,65277,36903,105,3571
Barnsley East,-1,6,69135,94604,E14000542,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Stephanie,Peacock,Female,Lab,Brexit,69504,38070,110,3217
Barrow and Furness,-5,13,68338,86806,E14000543,E12000002,Cumbria,North West,England,County,Simon,Fell,Male,Con,Lab,70158,46046,92,5789
Basildon and Billericay,8,-5,66347,95530,E14000544,E12000006,Essex,East,England,Borough,John,Baron,Male,Con,Lab,69906,44128,185,20412
Basingstoke,-3,-10,79665,115046,E14000545,E12000008,Hampshire,South East,England,Borough,Maria,Miller,Female,Con,Lab,82928,54713,244,14198
Bassetlaw,2,4,76796,106994,E14000546,E12000004,Nottinghamshire,East Midlands,England,County,Brendan,Clarke-Smith,Male,Con,Lab,80024,50841,211,14013
Bath,-6,-9,63084,95024,E14000547,E12000009,Avon,South West,England,Borough,Wera,Hobhouse,Female,LD,Con,67805,52138,192,12322
Batley and Spen,-1,8,78373,111539,E14000548,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Tracy,Brabin,Female,Lab,Con,79558,52927,104,3525
Battersea,4,-12,76111,115715,E14000549,E12000007,London,London,England,Borough,Marsha,De Cordova,Female,Lab,Con,79350,59977,157,5668
Beaconsfield,-1,-8,74726,102421,E14000550,E12000008,Buckinghamshire,South East,England,County,Joy,Morrissey,Female,Con,Ind,77720,57868,167,15712
Beckenham,7,-14,67439,92767,E14000551,E12000007,London,London,England,Borough,Bob,Stewart,Male,Con,Lab,68662,50555,236,14258
Bedford,4,-3,69311,106341,E14000552,E12000006,Bedfordshire,East,England,Borough,Mohammad,Yasin,Male,Lab,Con,71581,47301,140,145
Bermondsey and Old Southwark,5,-11,83298,144175,E14000553,E12000007,London,London,England,Borough,Neil,Coyle,Male,Lab,LD,93248,58615,276,16126
Bethnal Green and Bow,7,-10,82727,146820,E14000555,E12000007,London,London,England,Borough,Rushanara,Ali,Female,Lab,Con,88262,60562,240,37524
Beverley and Holderness,4,8,80805,100257,E14000556,E12000003,Humberside,Yorkshire and The Humber,England,County,Graham,Stuart,Male,Con,Lab,79696,53542,248,20448
Bexhill and Battle,10,-15,78796,104993,E14000557,E12000008,East Sussex,South East,England,County,Huw,Merriman,Male,Con,Lab,81963,59093,352,26059
Bexleyheath and Crayford,9,-10,64828,93923,E14000558,E12000007,London,London,England,Borough,David,Evennett,Male,Con,Lab,65466,43246,167,13103
Birkenhead,-10,2,62410,90087,E14000559,E12000002,Merseyside,North West,England,Borough,Mick,Whitley,Male,Lab,Birkenhead Social Justice Party,63762,42329,73,17705
"Birmingham, Edgbaston",-4,-3,65591,105317,E14000560,E12000005,West Midlands,West Midlands,England,Borough,Preet Kaur,Gill,Female,Lab,Con,68828,42328,149,5614
"Birmingham, Erdington",-2,-2,65128,103188,E14000561,E12000005,West Midlands,West Midlands,England,Borough,Jack,Dromey,Male,Lab,Con,66148,35229,92,3601
"Birmingham, Hall Green",-3,-4,76330,120130,E14000562,E12000005,West Midlands,West Midlands,England,Borough,Tahir,Ali,Male,Lab,Con,80283,52911,180,28508
"Birmingham, Hodge Hill",-1,-2,75302,129262,E14000563,E12000005,West Midlands,West Midlands,England,Borough,Liam,Byrne,Male,Lab,Con,78295,45003,131,28655
"Birmingham, Ladywood",-3,-3,68128,146279,E14000564,E12000005,West Midlands,West Midlands,England,Borough,Shabana,Mahmood,Female,Lab,Con,74912,42118,153,28582
"Birmingham, Northfield",-4,-4,71428,103704,E14000565,E12000005,West Midlands,West Midlands,England,Borough,Gary,Sambrook,Male,Con,Lab,73694,43098,140,1640
"Birmingham, Perry Barr",-3,-2,69943,112420,E14000566,E12000005,West Midlands,West Midlands,England,Borough,Khalid,Mahmood,Male,Lab,Con,72006,42147,115,15317
"Birmingham, Selly Oak",-3,-5,75092,108848,E14000567,E12000005,West Midlands,West Midlands,England,Borough,Stephen,McCabe,Male,Lab,Con,82665,49467,160,12414
"Birmingham, Yardley",-2,-3,72146,113069,E14000568,E12000005,West Midlands,West Midlands,England,Borough,Jess,Phillips,Female,Lab,Con,74704,42678,107,10659
Bishop Auckland,-2,12,66070,88794,E14000569,E12000001,Durham,North East,England,County,Dehenna,Davison,Female,Con,Lab,68170,44805,131,7962
Blackburn,-6,10,73260,109163,E14000570,E12000002,Lancashire,North West,England,Borough,Kate,Hollern,Female,Lab,Con,71234,44736,109,18304
Blackley and Broughton,-6,6,71913,121759,E14000571,E12000002,Greater Manchester,North West,England,Borough,Graham,Stringer,Male,Lab,Con,73372,38618,142,14402
Blackpool North and Cleveleys,-6,12,62468,83152,E14000572,E12000002,Lancashire,North West,England,Borough,Paul,Maynard,Male,Con,Lab,63692,38804,130,8596
Blackpool South,-8,11,57411,79725,E14000573,E12000002,Lancashire,North West,England,Borough,Scott,Benton,Male,Con,Lab,57690,32752,86,3690
Blaydon,-3,14,67901,88273,E14000574,E12000001,Tyne and Wear,North East,England,Borough,Liz,Twist,Female,Lab,Con,67853,45681,121,5531
Blyth Valley,-2,17,61247,83985,E14000575,E12000001,Northumberland,North East,England,Borough,Ian,Levy,Male,Con,Lab,64429,40859,94,712
Bognor Regis and Littlehampton,2,-15,72995,106496,E14000576,E12000008,West Sussex,South East,England,County,Nick,Gibb,Male,Con,Lab,77446,51223,208,22503
Bolsover,0,3,71979,98531,E14000577,E12000004,Derbyshire,East Midlands,England,County,Mark,Fletcher,Male,Con,Lab,75161,45938,151,5299
Bolton North East,-7,7,67895,97992,E14000578,E12000002,Greater Manchester,North West,England,Borough,Mark,Logan,Male,Con,Lab,67564,43556,112,378
Bolton South East,-7,6,69687,105872,E14000579,E12000002,Greater Manchester,North West,England,Borough,Yasmin,Qureshi,Female,Lab,Con,69163,40604,111,7598
Bolton West,-8,7,72719,96124,E14000580,E12000002,Greater Manchester,North West,England,County,Chris,Green,Male,Con,Lab,73191,49298,163,8855
Bootle,-10,7,70145,99224,E14000581,E12000002,Merseyside,North West,England,Borough,Peter,Dowd,Male,Lab,Con,74832,49174,149,34556
Boston and Skegness,4,5,67064,106272,E14000582,E12000004,Lincolnshire,East Midlands,England,County,Matt,Warman,Male,Con,Lab,69381,41696,175,25621
Bosworth,0,-1,79738,104589,E14000583,E12000004,Leicestershire,East Midlands,England,County,Luke,Evans,Male,Con,Lab,81542,56432,234,26278
Bournemouth East,-8,-13,72275,107483,E14000584,E12000009,Dorset,South West,England,Borough,Tobias,Ellwood,Male,Con,Lab,74125,49274,188,8806
Bournemouth West,-8,-14,72082,105394,E14000585,E12000009,Dorset,South West,England,Borough,Conor,Burns,Male,Con,Lab,74205,45977,211,10150
Bracknell,-2,-10,81271,111021,E14000586,E12000008,Berkshire,South East,England,County,James,Sunderland,Male,Con,Lab,78978,54350,212,19829
Bradford East,-2,9,66121,118123,E14000587,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Imran,Hussain,Male,Lab,Con,73206,44184,91,18144
Bradford South,-2,8,63674,105363,E14000588,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Judith,Cummins,Female,Lab,Con,69046,39741,87,2346
Bradford West,-3,9,63372,117969,E14000589,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Naz,Shah,Female,Lab,Con,70694,44261,134,27019
Braintree,8,-2,73557,101121,E14000590,E12000006,Essex,East,England,County,James,Cleverly,Male,Con,Lab,75208,50499,258,24673
Brent Central,2,-9,77038,147291,E14000591,E12000007,London,London,England,Borough,Dawn,Butler,Female,Lab,Con,84032,49132,224,20870
Brent North,1,-9,82196,136376,E14000592,E12000007,London,London,England,Borough,Barry,Gardiner,Male,Lab,Con,83788,51879,199,8079
Brentford and Isleworth,1,-11,84602,134768,E14000593,E12000007,London,London,England,Borough,Ruth,Cadbury,Female,Lab,Con,85775,58326,145,10514
Brentwood and Ongar,8,-4,71918,96486,E14000594,E12000006,Essex,East,England,County,Alex,Burghart,Male,Con,Lab,75255,52949,238,29065
Bridgwater and West Somerset,-11,-12,80491,113002,E14000595,E12000009,Somerset,South West,England,County,Ian,Liddell-Grainger,Male,Con,Lab,85327,57652,279,24439
Brigg and Goole,1,7,68488,88452,E14000596,E12000003,Humberside,Yorkshire and The Humber,England,County,Andrew,Percy,Male,Con,Lab,65939,43402,178,21941
"Brighton, Kemptown",7,-15,67858,95938,E14000597,E12000008,East Sussex,South East,England,Borough,Lloyd,Russell-Moyle,Male,Lab,Con,69833,48533,140,8061
"Brighton, Pavilion",6,-15,76557,112196,E14000598,E12000008,East Sussex,South East,England,Borough,Caroline,Lucas,Female,Green,Lab,79057,57998,158,19940
Bristol East,-7,-9,71193,100828,E14000599,E12000009,Avon,South West,England,Borough,Kerry,McCarthy,Female,Lab,Con,73867,52154,157,10794
Bristol North West,-8,-9,74743,106013,E14000600,E12000009,Avon,South West,England,Borough,Darren,Jones,Male,Lab,Con,76273,55885,169,5692
Bristol South,-7,-10,81496,113526,E14000601,E12000009,Avon,South West,England,Borough,Karin,Smyth,Female,Lab,Con,84079,55196,181,9859
Bristol West,-8,-10,91236,138885,E14000602,E12000009,Avon,South West,England,Borough,Thangam,Debbonaire,Female,Lab,Green,99253,75528,355,28219
Broadland,7,2,73552,98565,E14000603,E12000006,Norfolk,East,England,County,Jerome,Mayhew,Male,Con,Lab,78151,56977,197,21861
Bromley and Chislehurst,8,-13,65477,95597,E14000604,E12000007,London,London,England,Borough,Robert,Neill,Male,Con,Lab,66697,45566,201,10891
Bromsgrove,-4,-5,73337,97594,E14000605,E12000005,Hereford and Worcester,West Midlands,England,County,Sajid,Javid,Male,Con,Lab,75078,54272,260,23106
Broxbourne,8,-6,72944,102167,E14000606,E12000006,Hertfordshire,East,England,Borough,Charles,Walker,Male,Con,Lab,73182,46706,214,19807
Broxtowe,0,1,71764,97540,E14000607,E12000004,Nottinghamshire,East Midlands,England,County,Darren,Henry,Male,Con,Lab,73052,55272,173,5331
Buckingham,2,-5,77425,104977,E14000608,E12000008,Buckinghamshire,South East,England,County,Greg,Smith,Male,Con,LD,83146,63458,241,20411
Burnley,-4,10,64477,87705,E14000609,E12000002,Lancashire,North West,England,Borough,Antony,Higginbotham,Male,Con,Lab,64345,38984,91,1352
Burton,-3,1,75248,106400,E14000610,E12000005,Staffordshire,West Midlands,England,County,Kate,Griffiths,Female,Con,Lab,75036,48738,212,14496
Bury North,-6,9,67580,89662,E14000611,E12000002,Greater Manchester,North West,England,Borough,James,Daly,Male,Con,Lab,68802,46841,111,105
Bury South,-6,8,73883,99966,E14000612,E12000002,Greater Manchester,North West,England,Borough,Christian,Wakeford,Male,Con,Lab,75152,50274,103,402
Bury St Edmunds,9,-2,85982,117735,E14000613,E12000006,Suffolk,East,England,County,Jo,Churchill,Female,Con,Lab,89644,61957,288,24988
